familyName,givenName,gender,affiliatedTo,dbpediaURI,yagoURI
Johnson,Hank,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Hank_Johnson,http://yago-knowledge.org/resource/Hank_Johnson
Sandlin,Max,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Max_Sandlin,http://yago-knowledge.org/resource/Max_Sandlin
Lampson,Nick,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Nick_Lampson,http://yago-knowledge.org/resource/Nick_Lampson
Nathan-Pulliam,Shirley,http://yago-knowledge.org/resource/female,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Shirley_Nathan-Pulliam,http://yago-knowledge.org/resource/Shirley_Nathan-Pulliam
Mell,Deb,http://yago-knowledge.org/resource/female,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Deb_Mell,http://yago-knowledge.org/resource/Deb_Mell
Nye,Glenn,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Glenn_Nye,http://yago-knowledge.org/resource/Glenn_Nye
Jackson,Hannah-Beth,http://yago-knowledge.org/resource/female,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Hannah-Beth_Jackson,http://yago-knowledge.org/resource/Hannah-Beth_Jackson
Blackwell,Jannie,http://yago-knowledge.org/resource/female,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Jannie_Blackwell,http://yago-knowledge.org/resource/Jannie_Blackwell
Engen,John,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/John_Engen,http://yago-knowledge.org/resource/John_Engen
Brenner,John,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/John_S._Brenner,http://yago-knowledge.org/resource/John_S._Brenner
Delligatti,Matt,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Matt_Delligatti,http://yago-knowledge.org/resource/Matt_Delligatti
Ahumada,Pat,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Pat_Ahumada,http://yago-knowledge.org/resource/Pat_Ahumada
Gelser,Sara,http://yago-knowledge.org/resource/female,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Sara_Gelser,http://yago-knowledge.org/resource/Sara_Gelser
Kosmas,Suzanne,http://yago-knowledge.org/resource/female,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Suzanne_Kosmas,http://yago-knowledge.org/resource/Suzanne_Kosmas
Diaz,Wilda,http://yago-knowledge.org/resource/female,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Wilda_Diaz,http://yago-knowledge.org/resource/Wilda_Diaz
Howard,Carolyn,http://yago-knowledge.org/resource/female,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Carolyn_J._B._Howard,http://yago-knowledge.org/resource/Carolyn_J._B._Howard
Niemann,Doyle,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Doyle_Niemann,http://yago-knowledge.org/resource/Doyle_Niemann
McKinney,Dennis,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Dennis_McKinney,http://yago-knowledge.org/resource/Dennis_McKinney
Boyce,Kevin,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Kevin_Boyce,http://yago-knowledge.org/resource/Kevin_Boyce
Brown,Peter,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Peter_Hoyt_Brown,http://yago-knowledge.org/resource/Peter_Hoyt_Brown
Kealty,Ed,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Ed_Kealty,http://yago-knowledge.org/resource/Ed_Kealty
Amador,Augusto,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Augusto_Amador,http://yago-knowledge.org/resource/Augusto_Amador
Danforth,John,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/John_Danforth,http://yago-knowledge.org/resource/John_Danforth
Frist,Bill,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/Bill_Frist,http://yago-knowledge.org/resource/Bill_Frist
Underwood,Cecil,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/Cecil_H._Underwood,http://yago-knowledge.org/resource/Cecil_H._Underwood
Lewis,Jerry,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/Jerry_Lewis_(California_politician),http://yago-knowledge.org/resource/Jerry_Lewis_(California_politician)
Rivera,David,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/David_Rivera,http://yago-knowledge.org/resource/David_Rivera
Thompson,Fred,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/Fred_Thompson,http://yago-knowledge.org/resource/Fred_Thompson
Miller,Gary,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/Gary_Miller,http://yago-knowledge.org/resource/Gary_Miller
Hyde,Henry,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/Henry_Hyde,http://yago-knowledge.org/resource/Henry_Hyde
Fitzpatrick,Mike,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/Mike_Fitzpatrick,http://yago-knowledge.org/resource/Mike_Fitzpatrick
Platts,Todd,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/Todd_Russell_Platts,http://yago-knowledge.org/resource/Todd_Russell_Platts
Chrysler,Dick,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/Dick_Chrysler,http://yago-knowledge.org/resource/Dick_Chrysler
Kohl,Sheryl,http://yago-knowledge.org/resource/female,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/Sheryl_Davis_Kohl,http://yago-knowledge.org/resource/Sheryl_Davis_Kohl
Costas,Jon,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/Jon_Costas,http://yago-knowledge.org/resource/Jon_Costas
Hedlund,Robert,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/Robert_L._Hedlund,http://yago-knowledge.org/resource/Robert_L._Hedlund
